									Iputs
22	2463.97	246	1.76	10.02	787.58	9.97%	0.00000000	macdThreshold=586	N=10 	macdFastEMA=1 	macdSlowEMA=24 	multTP=1.5 	orderDistance=330
7	1859.24	189	1.77	9.84	816.33	10.32%	0.00000000	macdThreshold=662	N=10 	macdFastEMA=1 	macdSlowEMA=24 	multTP=1.5 	orderDistance=330
25	1818.79	182	1.76	9.99	816.33	10.32%	0.00000000	macdThreshold=673	N=10 	macdFastEMA=1 	macdSlowEMA=24 	multTP=1.5 	orderDistance=330
24	1801.63	179	1.75	10.06	816.33	10.33%	0.00000000	macdThreshold=689	N=10 	macdFastEMA=1 	macdSlowEMA=24 	multTP=1.5 	orderDistance=330
28	1785.55	176	1.75	10.15	816.33	10.35%	0.00000000	macdThreshold=695	N=10 	macdFastEMA=1 	macdSlowEMA=24 	multTP=1.5 	orderDistance=330
6	1785.55	176	1.75	10.15	816.33	10.35%	0.00000000	macdThreshold=694	N=10 	macdFastEMA=1 	macdSlowEMA=24 	multTP=1.5 	orderDistance=330
29	1775.73	174	1.74	10.21	816.33	10.36%	0.00000000	macdThreshold=704	N=10 	macdFastEMA=1 	macdSlowEMA=24 	multTP=1.5 	orderDistance=330
13	1775.73	174	1.74	10.21	816.33	10.36%	0.00000000	macdThreshold=697	N=10 	macdFastEMA=1 	macdSlowEMA=24 	multTP=1.5 	orderDistance=330
8	1775.73	174	1.74	10.21	816.33	10.36%	0.00000000	macdThreshold=707	N=10 	macdFastEMA=1 	macdSlowEMA=24 	multTP=1.5 	orderDistance=330
3	1775.73	174	1.74	10.21	816.33	10.36%	0.00000000	macdThreshold=699	N=10 	macdFastEMA=1 	macdSlowEMA=24 	multTP=1.5 	orderDistance=330
23	1761.37	173	1.75	10.18	816.33	10.38%	0.00000000	macdThreshold=710	N=10 	macdFastEMA=1 	macdSlowEMA=24 	multTP=1.5 	orderDistance=330
4	1756.46	172	1.74	10.21	816.33	10.38%	0.00000000	macdThreshold=714	N=10 	macdFastEMA=1 	macdSlowEMA=24 	multTP=1.5 	orderDistance=330
18	1751.51	171	1.74	10.24	816.33	10.38%	0.00000000	macdThreshold=717	N=10 	macdFastEMA=1 	macdSlowEMA=24 	multTP=1.5 	orderDistance=330
15	1751.51	171	1.74	10.24	816.33	10.38%	0.00000000	macdThreshold=715	N=10 	macdFastEMA=1 	macdSlowEMA=24 	multTP=1.5 	orderDistance=330
33	1707.58	168	1.75	10.16	816.33	10.44%	0.00000000	macdThreshold=726	N=10 	macdFastEMA=1 	macdSlowEMA=24 	multTP=1.5 	orderDistance=330
31	1701.44	167	1.75	10.19	816.33	10.45%	0.00000000	macdThreshold=734	N=10 	macdFastEMA=1 	macdSlowEMA=24 	multTP=1.5 	orderDistance=330
32	1696.51	166	1.74	10.22	816.33	10.45%	0.00000000	macdThreshold=741	N=10 	macdFastEMA=1 	macdSlowEMA=24 	multTP=1.5 	orderDistance=330
34	1630.69	156	1.73	10.45	816.33	10.54%	0.00000000	macdThreshold=750	N=10 	macdFastEMA=1 	macdSlowEMA=24 	multTP=1.5 	orderDistance=330
